company,role,location,education,years_of_experience,base_salary,annual_bonus,annual_stock,total_compensation,company_tier,remote_work
Netflix,Senior Software Engineer,Remote,Master's,13,367544,48880,17818,434242,FAANG,1
Uber,Product Manager,Remote,Bachelor's,0,181966,26429,18022,226417,Tier2,0
Uber,ML Engineer,"Los Angeles, CA",Master's,11,313445,52528,17265,383238,Tier2,0
SAP,Senior Data Scientist,"Seattle, WA",Master's,11,274211,54621,0,328832,Tier3,1
Uber,Senior Product Manager,"Austin, TX",PhD,4,279229,16988,35071,331288,Tier2,1
Apple,Data Scientist,"Seattle, WA",PhD,10,364509,24660,31056,420225,FAANG,0
Databricks,Senior Software Engineer,"New York, NY",Master's,3,260321,35552,9326,305199,Tier2,0
IBM,Senior Product Manager,"Denver, CO",Master's,4,222313,14852,0,237165,Tier3,1
Uber,Senior Product Manager,"San Francisco, CA",Master's,4,380832,72994,30803,484629,Tier2,0
IBM,Engineering Manager,Remote,Bachelor's,1,237909,26295,0,264204,Tier3,0
SAP,Engineering Manager,"Chicago, IL",Master's,1,247704,19920,0,267624,Tier3,0
Stripe,Data Scientist,"Seattle, WA",Bachelor's,3,231490,46329,7782,285601,Tier2,0
Early Stage Startup,ML Engineer,"San Francisco, CA",Bachelor's,4,202716,28177,0,230893,Startup,0
Uber,Software Engineer,"Los Angeles, CA",Master's,0,168003,13275,20739,202017,Tier2,0
Oracle,ML Engineer,"New York, NY",Bachelor's,7,268744,18757,0,287501,Tier3,0
Microsoft,Staff Engineer,"Austin, TX",Bachelor's,9,303516,42080,19744,365340,Tier2,0
ServiceNow,Senior Data Scientist,"Denver, CO",Bachelor's,1,169103,14528,0,183631,Tier3,0
Google,ML Engineer,"Seattle, WA",PhD,22,561532,30616,37285,629433,FAANG,1
Google,Senior Data Scientist,Remote,Bachelor's,1,244264,34312,45137,323713,FAANG,0
Databricks,Principal Engineer,Remote,Bachelor's,7,362736,76204,23643,462583,Tier2,1
Workday,Senior Product Manager,"Denver, CO",Self-taught,3,181461,18385,0,199846,Tier3,1
Meta,Product Manager,"Los Angeles, CA",Bachelor's,5,276306,48515,36321,361142,FAANG,0
Airbnb,Principal Engineer,"Chicago, IL",Bachelor's,4,363121,20237,35019,418377,Tier2,0
Microsoft,ML Engineer,"Seattle, WA",Master's,5,253414,15578,16945,285937,Tier2,0
Apple,Staff Engineer,"Atlanta, GA",Bachelor's,9,325534,49071,27123,401728,FAANG,1
SAP,ML Engineer,"Boston, MA",Bachelor's,3,201923,11133,0,213056,Tier3,1
Workday,Senior Software Engineer,"Chicago, IL",PhD,0,178937,21128,0,200065,Tier3,1
Airbnb,Product Manager,"Los Angeles, CA",Bachelor's,0,217497,37844,27837,283178,Tier2,0
Intuit,ML Engineer,"New York, NY",Master's,8,299029,50067,0,349096,Tier3,0
Databricks,Senior Product Manager,"Chicago, IL",Self-taught,0,219455,12332,28908,260695,Tier2,1
Lyft,Staff Engineer,"Denver, CO",Self-taught,14,336845,26017,43274,406136,Tier2,0
Meta,Staff Engineer,Remote,Master's,2,386598,52961,37004,476563,FAANG,1
Oracle,Senior Software Engineer,"San Francisco, CA",Bootcamp,4,249582,55248,0,304830,Tier3,1
Salesforce,Principal Engineer,"San Francisco, CA",Bachelor's,3,545467,67395,85802,698664,Tier2,1
Workday,Staff Engineer,"Denver, CO",Bachelor's,1,182861,15469,0,198330,Tier3,0
Apple,Senior Product Manager,Remote,PhD,0,320902,21686,36216,378804,FAANG,1
Uber,Principal Engineer,"Boston, MA",Master's,3,392878,27702,18456,439036,Tier2,0
SAP,Senior Data Scientist,"San Francisco, CA",Master's,4,315997,41349,0,357346,Tier3,0
Workday,ML Engineer,"New York, NY",PhD,1,189386,21424,0,210810,Tier3,0
Meta,Product Manager,"Denver, CO",Bachelor's,0,214467,33067,32360,279894,FAANG,0
SAP,Data Scientist,"Denver, CO",Master's,0,136879,9144,0,146023,Tier3,1
Oracle,Software Engineer,"Seattle, WA",Bachelor's,3,194565,20902,0,215467,Tier3,1
Oracle,Software Engineer,"Boston, MA",Master's,10,199711,13738,0,213449,Tier3,0
Oracle,Product Manager,Remote,Master's,4,169229,33043,0,202272,Tier3,1
Series A Startup,Senior Data Scientist,"Atlanta, GA",Bachelor's,2,140053,25982,0,166035,Startup,1
Databricks,Senior Data Scientist,"Seattle, WA",Bachelor's,4,298547,53034,17467,369048,Tier2,0
Salesforce,Senior Product Manager,"Chicago, IL",Self-taught,2,224866,14360,24225,263451,Tier2,0
Workday,Data Scientist,"San Francisco, CA",Master's,2,207751,38266,0,246017,Tier3,1
Databricks,Principal Engineer,"New York, NY",Master's,2,484372,23881,24893,533146,Tier2,1
Amazon,Product Manager,"Los Angeles, CA",Master's,8,311732,28627,21221,361580,FAANG,0
Amazon,Software Engineer,"Denver, CO",Bachelor's,14,322196,29161,18916,370273,FAANG,1
SAP,Senior Software Engineer,"New York, NY",Bachelor's,5,235751,24513,0,260264,Tier3,1
IBM,Product Manager,"San Francisco, CA",Bachelor's,0,221144,24657,0,245801,Tier3,1
Databricks,Engineering Manager,"Denver, CO",Bootcamp,4,276394,18867,27332,322593,Tier2,1
Apple,Product Manager,"Boston, MA",Bachelor's,0,215872,32130,26248,274250,FAANG,0
SAP,Data Scientist,"Chicago, IL",Bootcamp,7,150545,7200,0,157745,Tier3,0
IBM,Data Scientist,"Boston, MA",Bachelor's,2,161531,30998,0,192529,Tier3,0
Oracle,Principal Engineer,"Atlanta, GA",Bachelor's,0,253846,39390,0,293236,Tier3,0
Databricks,Software Engineer,"Denver, CO",Master's,6,192692,36677,7599,236968,Tier2,1
Series B Startup,Senior Data Scientist,"Austin, TX",Master's,4,177655,12209,0,189864,Startup,0
IBM,Senior Software Engineer,"Boston, MA",Master's,5,264006,24561,0,288567,Tier3,0
Oracle,ML Engineer,"Los Angeles, CA",Bachelor's,0,166489,25803,0,192292,Tier3,0
Airbnb,Staff Engineer,"New York, NY",Bachelor's,2,355194,80649,15218,451061,Tier2,1
Databricks,Principal Engineer,"Denver, CO",Master's,3,334482,44499,32402,411383,Tier2,0
Apple,Data Scientist,"Los Angeles, CA",Bachelor's,4,305918,22914,45530,374362,FAANG,0
Databricks,Senior Software Engineer,"Los Angeles, CA",Bachelor's,0,242554,29415,18545,290514,Tier2,0
Series B Startup,Senior Software Engineer,"Los Angeles, CA",Bachelor's,2,167488,32648,0,200136,Startup,0
Oracle,Senior Data Scientist,"Atlanta, GA",Bachelor's,0,131101,23726,0,154827,Tier3,0
Series B Startup,ML Engineer,"San Francisco, CA",Bachelor's,2,240971,18935,0,259906,Startup,0
Workday,Software Engineer,"Denver, CO",PhD,4,145530,10273,0,155803,Tier3,0
Meta,Product Manager,Remote,Self-taught,0,210398,18687,23648,252733,FAANG,0
Early Stage Startup,Senior Software Engineer,"Denver, CO",Master's,0,148024,14723,0,162747,Startup,0
Stripe,Senior Software Engineer,"Los Angeles, CA",Master's,0,257094,17419,9028,283541,Tier2,1
ServiceNow,Engineering Manager,"San Francisco, CA",Master's,0,367329,59070,0,426399,Tier3,0
ServiceNow,Senior Software Engineer,"San Francisco, CA",Bootcamp,9,268042,47286,0,315328,Tier3,1
Google,Staff Engineer,Remote,Master's,4,353862,32843,32472,419177,FAANG,0
Stripe,Principal Engineer,"Seattle, WA",Bachelor's,1,450348,84448,54675,589471,Tier2,0
Stripe,Software Engineer,"Denver, CO",Bachelor's,5,183071,27857,13113,224041,Tier2,0
Workday,Staff Engineer,"Boston, MA",Bachelor's,4,224567,30254,0,254821,Tier3,0
Uber,Senior Software Engineer,"Boston, MA",Bootcamp,8,304561,21778,11971,338310,Tier2,0
Stripe,Senior Data Scientist,"Boston, MA",Master's,6,315797,47895,25335,389027,Tier2,0
Oracle,Data Scientist,"New York, NY",Bachelor's,3,205550,15496,0,221046,Tier3,1
Amazon,ML Engineer,"Atlanta, GA",Master's,6,241239,17989,11451,270679,FAANG,1
Airbnb,Senior Data Scientist,"Los Angeles, CA",Bachelor's,7,273082,24603,33630,331315,Tier2,0
Early Stage Startup,Data Scientist,"Chicago, IL",PhD,5,152978,12953,0,165931,Startup,1
Workday,Senior Product Manager,Remote,Bachelor's,6,214995,44094,0,259089,Tier3,1
Airbnb,Software Engineer,"Los Angeles, CA",Master's,0,192721,13246,20971,226938,Tier2,0
SAP,Staff Engineer,"Los Angeles, CA",Master's,1,310905,28925,0,339830,Tier3,1
Amazon,Senior Data Scientist,Remote,Master's,2,341942,36615,8463,387020,FAANG,0
Salesforce,Principal Engineer,"Denver, CO",Master's,4,379942,44238,20345,444525,Tier2,0
Meta,Engineering Manager,Remote,Bachelor's,4,362122,27831,34091,424044,FAANG,0
Amazon,Senior Software Engineer,"Los Angeles, CA",Bachelor's,0,284438,40584,21733,346755,FAANG,0
Intuit,Software Engineer,"Denver, CO",PhD,13,187795,10795,0,198590,Tier3,1
Uber,ML Engineer,"San Francisco, CA",Bootcamp,3,264167,19649,32965,316781,Tier2,1
IBM,Principal Engineer,"San Francisco, CA",Bachelor's,2,437056,38253,0,475309,Tier3,0
Amazon,Principal Engineer,"Los Angeles, CA",Self-taught,10,534400,87307,25931,647638,FAANG,0
Databricks,Software Engineer,"Atlanta, GA",Master's,4,166834,12907,26909,206650,Tier2,0
Amazon,Senior Software Engineer,"Seattle, WA",Bachelor's,15,420413,56703,41625,518741,FAANG,0
IBM,Software Engineer,"Boston, MA",PhD,1,151240,19382,0,170622,Tier3,0
SAP,Principal Engineer,"Austin, TX",Bachelor's,0,252902,39402,0,292304,Tier3,1
Series A Startup,Staff Engineer,Remote,PhD,3,236191,44300,0,280491,Startup,0
Amazon,Engineering Manager,"Chicago, IL",PhD,1,384394,49601,32055,466050,FAANG,0
Series B Startup,Principal Engineer,"Boston, MA",Bachelor's,0,272567,39650,0,312217,Startup,0
IBM,Senior Data Scientist,Remote,Bachelor's,16,246437,20760,0,267197,Tier3,1
Early Stage Startup,Senior Product Manager,"Los Angeles, CA",Bachelor's,3,194948,16003,0,210951,Startup,0
Stripe,Engineering Manager,"Austin, TX",Bachelor's,0,288790,46215,10891,345896,Tier2,1
Series B Startup,Data Scientist,"Atlanta, GA",PhD,11,181666,17476,0,199142,Startup,0
Airbnb,Senior Software Engineer,"Atlanta, GA",Bachelor's,7,208134,25804,19257,253195,Tier2,0
Oracle,Staff Engineer,Remote,Master's,3,246819,35468,0,282287,Tier3,0
Workday,Engineering Manager,"Austin, TX",Master's,2,252678,28171,0,280849,Tier3,1
Series A Startup,Senior Product Manager,Remote,Master's,8,201451,10694,0,212145,Startup,0
Workday,ML Engineer,"Denver, CO",Master's,2,163386,13767,0,177153,Tier3,1
Lyft,Product Manager,"Atlanta, GA",Bachelor's,11,200505,11299,12897,224701,Tier2,0
Intuit,Senior Software Engineer,"Atlanta, GA",Bachelor's,13,186007,17251,0,203258,Tier3,0
ServiceNow,Data Scientist,"Austin, TX",Bachelor's,0,132188,18935,0,151123,Tier3,0
Salesforce,Software Engineer,"Chicago, IL",Master's,5,188317,12782,11824,212923,Tier2,0
Oracle,Senior Software Engineer,"Seattle, WA",Bachelor's,6,229987,39892,0,269879,Tier3,1
Oracle,Data Scientist,Remote,Master's,3,142862,17192,0,160054,Tier3,1
SAP,Product Manager,Remote,Bachelor's,3,172522,9969,0,182491,Tier3,1
Uber,Staff Engineer,"Atlanta, GA",Master's,1,231984,41863,29693,303540,Tier2,0
Lyft,Principal Engineer,"Austin, TX",Bachelor's,7,326730,27475,11096,365301,Tier2,1
Amazon,Senior Product Manager,Remote,Master's,0,253050,22978,10972,287000,FAANG,1
IBM,Staff Engineer,"Denver, CO",Bachelor's,1,208642,26087,0,234729,Tier3,0
Series A Startup,Staff Engineer,"San Francisco, CA",Master's,0,322952,71824,0,394776,Startup,0
Apple,Staff Engineer,"Austin, TX",Bachelor's,6,347309,65968,8408,421685,FAANG,0
Google,Software Engineer,"Boston, MA",Master's,7,307483,31568,15043,354094,FAANG,0
Intuit,Engineering Manager,"Chicago, IL",Master's,19,349391,41990,0,391381,Tier3,0
Microsoft,Software Engineer,"New York, NY",Self-taught,1,195686,14807,24492,234985,Tier2,0
Microsoft,Senior Product Manager,"Austin, TX",Bachelor's,11,305368,48905,40024,394297,Tier2,0
Early Stage Startup,ML Engineer,"Atlanta, GA",Bachelor's,1,133697,11301,0,144998,Startup,0
Airbnb,Product Manager,"Boston, MA",Bachelor's,3,174084,32524,14016,220624,Tier2,1
Airbnb,Senior Product Manager,"Denver, CO",Bachelor's,6,248094,16055,42453,306602,Tier2,0
Series A Startup,Staff Engineer,"Chicago, IL",Self-taught,17,237478,18713,0,256191,Startup,1
Google,Software Engineer,"Denver, CO",Bachelor's,9,235826,30633,27576,294035,FAANG,0
Early Stage Startup,Engineering Manager,"Seattle, WA",Master's,1,266000,16875,0,282875,Startup,1
Databricks,ML Engineer,"Denver, CO",Bachelor's,2,206184,25368,30279,261831,Tier2,1
Apple,Principal Engineer,"Boston, MA",Bachelor's,0,445363,105806,27687,578856,FAANG,0
Meta,Product Manager,"Denver, CO",Bachelor's,11,294395,43687,21891,359973,FAANG,1
ServiceNow,Staff Engineer,Remote,Self-taught,1,196271,34153,0,230424,Tier3,0
Early Stage Startup,ML Engineer,"Los Angeles, CA",Master's,1,182688,24471,0,207159,Startup,0
Meta,Senior Data Scientist,"New York, NY",Bachelor's,11,411522,27241,30518,469281,FAANG,1
Netflix,Principal Engineer,"Boston, MA",Self-taught,9,502374,116669,16518,635561,FAANG,0
Early Stage Startup,Engineering Manager,"Seattle, WA",Bachelor's,10,301731,15057,0,316788,Startup,0
Google,Principal Engineer,"Chicago, IL",PhD,1,449846,44262,29734,523842,FAANG,0
Meta,Data Scientist,"New York, NY",Bootcamp,3,270928,62730,13247,346905,FAANG,1
ServiceNow,Senior Product Manager,"Chicago, IL",Bachelor's,4,209519,40425,0,249944,Tier3,0
Google,Principal Engineer,"Seattle, WA",Bachelor's,5,566183,62764,81089,710036,FAANG,0
Microsoft,Engineering Manager,"New York, NY",PhD,2,415105,74226,47795,537126,Tier2,0
SAP,Senior Software Engineer,"New York, NY",Bootcamp,5,201839,24159,0,225998,Tier3,0
Apple,Engineering Manager,"Denver, CO",Bachelor's,2,340740,40824,11906,393470,FAANG,1
Amazon,Senior Product Manager,"New York, NY",PhD,0,354107,71819,41840,467766,FAANG,0
SAP,Principal Engineer,"Denver, CO",Master's,3,279904,13755,0,293659,Tier3,0
IBM,Engineering Manager,"New York, NY",Bachelor's,6,311506,57827,0,369333,Tier3,1
IBM,Data Scientist,"Chicago, IL",Self-taught,4,158334,14945,0,173279,Tier3,0
Stripe,Senior Software Engineer,Remote,Master's,0,224040,14927,10872,249839,Tier2,1
Google,ML Engineer,"Los Angeles, CA",Bachelor's,1,303736,67358,26557,397651,FAANG,0
Uber,Engineering Manager,"New York, NY",Bachelor's,7,447908,33004,22690,503602,Tier2,0
Lyft,Software Engineer,"Denver, CO",Master's,0,135053,5134,6996,147183,Tier2,0
Airbnb,Software Engineer,"Chicago, IL",Bachelor's,3,166328,13066,7515,186909,Tier2,0
Uber,Principal Engineer,"San Francisco, CA",Bachelor's,8,543178,104853,32760,680791,Tier2,0
Netflix,Software Engineer,"Chicago, IL",PhD,3,226185,33895,7782,267862,FAANG,1
Oracle,Software Engineer,"Denver, CO",Bachelor's,2,118573,24627,0,143200,Tier3,0
Oracle,Senior Product Manager,"Los Angeles, CA",Self-taught,6,274789,46517,0,321306,Tier3,1
Google,Principal Engineer,"Seattle, WA",Bachelor's,4,603787,66895,54251,724933,FAANG,1
Meta,Product Manager,"Atlanta, GA",Bachelor's,4,222316,35567,34366,292249,FAANG,0
Workday,Product Manager,"New York, NY",Bachelor's,0,164573,17613,0,182186,Tier3,1
Microsoft,Engineering Manager,"Boston, MA",Bootcamp,2,280908,39685,11927,332520,Tier2,0
Amazon,Staff Engineer,"Chicago, IL",Bachelor's,1,280924,37298,34719,352941,FAANG,0
Netflix,Senior Data Scientist,"Austin, TX",Bachelor's,7,340602,24839,51041,416482,FAANG,0
SAP,Software Engineer,"San Francisco, CA",Master's,4,196022,35399,0,231421,Tier3,0
Apple,Software Engineer,"Seattle, WA",Bachelor's,0,244226,13459,17857,275542,FAANG,0
ServiceNow,Data Scientist,Remote,Bachelor's,11,194104,12903,0,207007,Tier3,1
Apple,Senior Software Engineer,"Chicago, IL",Self-taught,1,245496,19278,24659,289433,FAANG,0
Netflix,Product Manager,"San Francisco, CA",Master's,0,338805,51353,21242,411400,FAANG,0
Databricks,Engineering Manager,"Los Angeles, CA",Master's,0,357987,64987,31380,454354,Tier2,1
ServiceNow,ML Engineer,"Boston, MA",Master's,4,205126,9275,0,214401,Tier3,0
Apple,Data Scientist,"New York, NY",Bachelor's,4,246500,14402,24923,285825,FAANG,0
Series B Startup,Product Manager,"Atlanta, GA",Self-taught,0,123600,14728,0,138328,Startup,1
Apple,Data Scientist,"San Francisco, CA",Master's,2,334199,58460,32166,424825,FAANG,1
ServiceNow,Staff Engineer,"Austin, TX",PhD,3,226781,19333,0,246114,Tier3,0
Netflix,Senior Data Scientist,"Seattle, WA",Bachelor's,5,409208,45510,20874,475592,FAANG,0
SAP,Staff Engineer,"New York, NY",Bachelor's,25,382990,28718,0,411708,Tier3,0
Oracle,ML Engineer,"Denver, CO",PhD,5,166017,28822,0,194839,Tier3,0
Lyft,Senior Software Engineer,"Austin, TX",Bachelor's,0,214951,40468,15061,270480,Tier2,0
Series A Startup,Data Scientist,"Seattle, WA",Bachelor's,3,180444,11841,0,192285,Startup,0
Oracle,ML Engineer,"Seattle, WA",Bachelor's,8,255493,52493,0,307986,Tier3,0
Early Stage Startup,Senior Data Scientist,"San Francisco, CA",Master's,1,272952,19806,0,292758,Startup,1
Airbnb,Senior Product Manager,"Austin, TX",Master's,0,211120,37903,27892,276915,Tier2,0
Oracle,Senior Data Scientist,"Denver, CO",Bachelor's,3,197116,19179,0,216295,Tier3,0
Databricks,Software Engineer,"Chicago, IL",Bachelor's,3,148356,7447,5452,161255,Tier2,1
Lyft,Data Scientist,Remote,Self-taught,0,159829,15582,16820,192231,Tier2,1
Series A Startup,Engineering Manager,"San Francisco, CA",Master's,3,300529,39437,0,339966,Startup,0
Early Stage Startup,Engineering Manager,Remote,Self-taught,7,267458,43361,0,310819,Startup,0
Series A Startup,Staff Engineer,Remote,Bachelor's,2,233704,26010,0,259714,Startup,0
ServiceNow,Staff Engineer,"Chicago, IL",Bachelor's,7,243368,28714,0,272082,Tier3,0
Lyft,Data Scientist,"Boston, MA",Bootcamp,1,177353,14035,13413,204801,Tier2,1
ServiceNow,Staff Engineer,"Boston, MA",Master's,2,251845,50647,0,302492,Tier3,0
Amazon,Product Manager,"San Francisco, CA",Bachelor's,3,360560,37209,8683,406452,FAANG,0
SAP,Data Scientist,"San Francisco, CA",Bootcamp,1,167499,32217,0,199716,Tier3,0
Intuit,Software Engineer,"Denver, CO",Bachelor's,9,153928,20377,0,174305,Tier3,0
Netflix,Data Scientist,"Los Angeles, CA",Bachelor's,1,230405,25302,15910,271617,FAANG,0
Stripe,Engineering Manager,"Austin, TX",Master's,10,366222,44375,65464,476061,Tier2,0
Uber,Staff Engineer,"Chicago, IL",Self-taught,4,257176,32972,22395,312543,Tier2,1
Netflix,ML Engineer,"Austin, TX",Master's,16,370303,30886,17130,418319,FAANG,1
Oracle,Staff Engineer,Remote,Master's,11,262884,22908,0,285792,Tier3,1
Microsoft,ML Engineer,"Boston, MA",Bachelor's,11,309702,58584,27486,395772,Tier2,0
SAP,Senior Product Manager,Remote,Self-taught,4,184272,22518,0,206790,Tier3,0
Microsoft,ML Engineer,"San Francisco, CA",Bachelor's,25,412222,27223,49564,489009,Tier2,0
Databricks,Engineering Manager,"Chicago, IL",Bootcamp,0,305876,35181,17521,358578,Tier2,1
Stripe,Engineering Manager,"Seattle, WA",Self-taught,2,380166,39426,26798,446390,Tier2,1
ServiceNow,Data Scientist,"Boston, MA",Master's,9,211820,40279,0,252099,Tier3,1
Early Stage Startup,ML Engineer,"Atlanta, GA",Bachelor's,9,137595,21417,0,159012,Startup,0
Amazon,Senior Product Manager,"Austin, TX",Bachelor's,2,269282,35126,32789,337197,FAANG,1
Amazon,Staff Engineer,"San Francisco, CA",Bachelor's,1,535712,101802,25425,662939,FAANG,0
Google,Software Engineer,"Boston, MA",Bootcamp,1,209717,37282,20868,267867,FAANG,0
Series A Startup,Staff Engineer,"Los Angeles, CA",Bootcamp,14,282933,53799,0,336732,Startup,0
SAP,Senior Software Engineer,"Austin, TX",Bachelor's,1,179087,7438,0,186525,Tier3,1
Apple,Senior Product Manager,"New York, NY",Master's,2,390042,66213,28045,484300,FAANG,0
Workday,Senior Data Scientist,Remote,Bachelor's,2,210481,12320,0,222801,Tier3,0
Microsoft,Engineering Manager,"Chicago, IL",Self-taught,1,260502,11612,13036,285150,Tier2,1
